mollie.title.payment_methods,Mollie Zahlungsmethoden
mollie.button.clear_cache,Cache manuell löschen
mollie.button.filter_all,Alle Methoden anzeigen
mollie.button.filter_activated,Nur aktivierte Methoden anzeigen
Name,Name
Status,Status
Minimal amount,Minimalbetrag
Maximal amount,Maximalbetrag
Issuer List,Ausstellerliste
Images,Bilder
Mollie payment methods,Mollie-Zahlungsmethoden
mollie.title.profile,Profilübersicht
mollie.profile.information,Profilinformationen
mollie.profile.id,Profil-ID:
mollie.profile.status,Profilstatus:
mollie.profile.error-message.generic,Fehler beim Kontaktieren des Mollie-Dienstes zur Profilvalidierung
mollie.profile.error-message.not-verified,Zahlungen sind im Live-Modus möglicherweise erst nach der Verifizierung Ihres Profils möglich.
mollie.order.warning.capture-expiring,Die Zahlungserfassung läuft in %s Stunden ab. Bitte erfassen Sie die Zahlung manuell vor diesem Zeitpunkt.
mollie.order.warning.capture-expired,Zahlungserfassung abgelaufen
mollie.payment-method.warning.minimum-amount,Der Mindestbetrag muss unter %s oder über %s liegen.
mollie.payment-method.warning.maximum-amount,Der Höchstbetrag muss unter %s oder über %s liegen.
